month,region,state,product,product_family,channel,dealer_cohort,units_mt,net_revenue_lakh,gross_margin_pct,discount_pct
2024-08-01,South,Andhra Pradesh,BioGro,Bio-stimulant,Retailer,New growth cohort,853,12.3,17.6,3.1
2024-08-01,South,Telangana,BioGro,Bio-stimulant,Distributor,Stable core,1018,14.25,18.2,3.3
2024-08-01,South,Karnataka,BioGro,Bio-stimulant,Co-op,Stable core,887,12.42,19,3.6
2024-08-01,South,Karnataka,BioGro,Bio-stimulant,Agri clinic,New growth cohort,925,12.95,17.3,4.7
2024-08-01,South,Andhra Pradesh,CropShield,Core fertiliser,Retailer,Stable core,1003,15.92,19.2,3.5
2024-08-01,South,Andhra Pradesh,CropShield,Core fertiliser,Distributor,Stable core,1040,16.07,19.3,4.5
2024-08-01,South,Telangana,CropShield,Core fertiliser,Co-op,Stable core,938,14.49,17.8,3.1
2024-08-01,South,Karnataka,CropShield,Core fertiliser,Agri clinic,New growth cohort,1089,16.83,17.5,3.7
2024-08-01,South,Karnataka,Specialty Zinc,Core fertiliser,Retailer,Stable core,943,16.33,19.1,4.2
2024-08-01,South,Andhra Pradesh,Specialty Zinc,Core fertiliser,Distributor,New growth cohort,1035,17.49,17.2,4.1
2024-08-01,South,Telangana,Specialty Zinc,Core fertiliser,Co-op,New growth cohort,949,16.04,17.6,3.6
2024-08-01,South,Karnataka,Specialty Zinc,Core fertiliser,Agri clinic,New growth cohort,908,15.35,16.4,4.8
2024-08-01,Central,Chhattisgarh,Urea,Core fertiliser,Retailer,Stable core,606,5.22,18.5,4.3
2024-08-01,Central,Madhya Pradesh,Urea,Core fertiliser,Distributor,New growth cohort,514,4.21,18.1,3.3
2024-08-01,Central,Madhya Pradesh,Urea,Core fertiliser,Co-op,Stable core,498,4.08,15.9,4.1
2024-08-01,Central,Chhattisgarh,Urea,Core fertiliser,Agri clinic,New growth cohort,588,4.82,17.3,3.5
2024-08-01,Central,Madhya Pradesh,DAP,Core fertiliser,Retailer,Stable core,606,6.1,18.5,4.9
2024-08-01,Central,Chhattisgarh,DAP,Core fertiliser,Distributor,Stable core,703,6.78,17.5,3.3
2024-08-01,Central,Madhya Pradesh,DAP,Core fertiliser,Co-op,Stable core,663,6.4,17.3,3.3
2024-08-01,Central,Madhya Pradesh,DAP,Core fertiliser,Agri clinic,Stable core,567,5.47,16,3.2
2024-08-01,Central,Chhattisgarh,NPK 20-20,Complex fertiliser,Retailer,New growth cohort,725,8.35,17.2,4.7
2024-08-01,Central,Madhya Pradesh,NPK 20-20,Complex fertiliser,Distributor,Stable core,727,8.07,17.2,5.1
2024-08-01,Central,Chhattisgarh,NPK 20-20,Complex fertiliser,Co-op,Stable core,649,7.2,17.2,3.3
2024-08-01,Central,Madhya Pradesh,NPK 20-20,Complex fertiliser,Agri clinic,New growth cohort,676,7.5,17.4,5.1
2024-08-01,Central,Madhya Pradesh,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,659,8.55,18.8,3.5
2024-08-01,Central,Madhya Pradesh,NPK 12-32-16,Complex fertiliser,Distributor,Stable core,807,10.13,18.7,5
2024-08-01,Central,Chhattisgarh,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,752,9.44,16,3.6
2024-08-01,Central,Madhya Pradesh,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,627,7.87,16.4,3.8
2024-08-01,Central,Madhya Pradesh,BioGro,Bio-stimulant,Retailer,Stable core,858,12.37,18.6,3.4
2024-08-01,Central,Madhya Pradesh,BioGro,Bio-stimulant,Distributor,Stable core,1004,14.06,17.2,4
2024-08-01,Central,Madhya Pradesh,BioGro,Bio-stimulant,Co-op,Stable core,1005,14.07,17.1,4.2
2024-08-01,Central,Chhattisgarh,BioGro,Bio-stimulant,Agri clinic,Stable core,929,13.01,19.3,4.7
2024-08-01,Central,Madhya Pradesh,CropShield,Core fertiliser,Retailer,Stable core,1036,16.44,17.6,4.3
2024-08-01,Central,Chhattisgarh,CropShield,Core fertiliser,Distributor,Stable core,1098,16.96,17.9,3.9
2024-08-01,Central,Chhattisgarh,CropShield,Core fertiliser,Co-op,Stable core,966,14.92,18.3,4.4
2024-08-01,Central,Chhattisgarh,CropShield,Core fertiliser,Agri clinic,New growth cohort,1066,16.47,18.2,4.1
2024-08-01,Central,Madhya Pradesh,Specialty Zinc,Core fertiliser,Retailer,Stable core,969,16.78,18.6,3.7
2024-08-01,Central,Madhya Pradesh,Specialty Zinc,Core fertiliser,Distributor,New growth cohort,873,14.75,17.4,4.3
2024-08-01,Central,Madhya Pradesh,Specialty Zinc,Core fertiliser,Co-op,Stable core,999,16.88,18,3.5
2024-08-01,Central,Madhya Pradesh,Specialty Zinc,Core fertiliser,Agri clinic,Stable core,912,15.41,18.2,4.1
2024-09-01,North,Haryana,Urea,Core fertiliser,Retailer,Stable core,342,2.95,16.4,4.6
2024-09-01,North,Haryana,Urea,Core fertiliser,Distributor,At-risk FY24 cohort,306,2.51,15.8,7.1
2024-09-01,North,Uttar Pradesh,Urea,Core fertiliser,Co-op,New growth cohort,371,3.04,17.9,3.4
2024-09-01,North,Punjab,Urea,Core fertiliser,Agri clinic,Stable core,361,2.96,16.7,3.1
2024-09-01,North,Punjab,DAP,Core fertiliser,Retailer,Stable core,406,4.09,18.7,4.1
2024-09-01,North,Uttar Pradesh,DAP,Core fertiliser,Distributor,At-risk FY24 cohort,368,3.55,18.1,6.8
2024-09-01,North,Uttar Pradesh,DAP,Core fertiliser,Co-op,New growth cohort,391,3.77,18,4.5
2024-09-01,North,Haryana,DAP,Core fertiliser,Agri clinic,Stable core,386,3.72,18.2,3.6
2024-09-01,North,Haryana,NPK 20-20,Complex fertiliser,Retailer,Stable core,447,5.15,16.6,3.3
2024-09-01,North,Uttar Pradesh,NPK 20-20,Complex fertiliser,Distributor,At-risk FY24 cohort,397,4.41,17.5,6.2
2024-09-01,North,Punjab,NPK 20-20,Complex fertiliser,Co-op,Stable core,402,4.46,16.6,5.1
2024-09-01,North,Punjab,NPK 20-20,Complex fertiliser,Agri clinic,Stable core,484,5.37,16.3,4.1
2024-09-01,North,Haryana,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,446,5.78,17.1,4.7
2024-09-01,North,Uttar Pradesh,NPK 12-32-16,Complex fertiliser,Distributor,At-risk FY24 cohort,400,5.02,16.2,5.9
2024-09-01,North,Haryana,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,526,6.6,18,3.3
2024-09-01,North,Haryana,NPK 12-32-16,Complex fertiliser,Agri clinic,New growth cohort,457,5.74,18.4,5.1
2024-09-01,North,Uttar Pradesh,BioGro,Bio-stimulant,Retailer,Stable core,600,8.65,18.1,4.8
2024-09-01,North,Punjab,BioGro,Bio-stimulant,Distributor,At-risk FY24 cohort,547,7.66,17.7,7.2
2024-09-01,North,Uttar Pradesh,BioGro,Bio-stimulant,Co-op,Stable core,590,8.26,17.8,3.5
2024-09-01,North,Haryana,BioGro,Bio-stimulant,Agri clinic,Stable core,660,9.24,17.5,4.2
2024-09-01,North,Punjab,CropShield,Core fertiliser,Retailer,New growth cohort,586,9.3,17.9,3.6
2024-09-01,North,Haryana,CropShield,Core fertiliser,Distributor,At-risk FY24 cohort,689,10.65,18.8,6.5
2024-09-01,North,Haryana,CropShield,Core fertiliser,Co-op,Stable core,585,9.04,18.3,4.3
2024-09-01,North,Haryana,CropShield,Core fertiliser,Agri clinic,New growth cohort,589,9.1,19.1,4.5
2024-09-01,North,Uttar Pradesh,Specialty Zinc,Core fertiliser,Retailer,New growth cohort,551,9.54,18.8,3.5
2024-09-01,North,Uttar Pradesh,Specialty Zinc,Core fertiliser,Distributor,At-risk FY24 cohort,633,10.7,18.2,5.8
2024-09-01,North,Punjab,Specialty Zinc,Core fertiliser,Co-op,Stable core,713,12.05,18.9,4.6
2024-09-01,North,Punjab,Specialty Zinc,Core fertiliser,Agri clinic,Stable core,609,10.29,16.7,4.5
2024-09-01,East,Bihar,Urea,Core fertiliser,Retailer,Stable core,395,3.4,15.8,3.6
2024-09-01,East,West Bengal,Urea,Core fertiliser,Distributor,At-risk FY24 cohort,346,2.84,16.3,5.8
2024-09-01,East,West Bengal,Urea,Core fertiliser,Co-op,Stable core,403,3.3,15.2,4
2024-09-01,East,Odisha,Urea,Core fertiliser,Agri clinic,Stable core,430,3.53,13.8,4.2
2024-09-01,East,Bihar,DAP,Core fertiliser,Retailer,Stable core,499,5.02,16.2,3.6
2024-09-01,East,Bihar,DAP,Core fertiliser,Distributor,At-risk FY24 cohort,477,4.6,13.9,7
2024-09-01,East,Bihar,DAP,Core fertiliser,Co-op,Stable core,409,3.95,14.8,4.5
2024-09-01,East,West Bengal,DAP,Core fertiliser,Agri clinic,Stable core,510,4.92,14.9,4.8
2024-09-01,East,Odisha,NPK 20-20,Complex fertiliser,Retailer,Stable core,435,5.01,14.4,3.5
2024-09-01,East,West Bengal,NPK 20-20,Complex fertiliser,Distributor,At-risk FY24 cohort,508,5.64,15.9,5.5
2024-09-01,East,West Bengal,NPK 20-20,Complex fertiliser,Co-op,Stable core,538,5.97,14.2,3.5
2024-09-01,East,Odisha,NPK 20-20,Complex fertiliser,Agri clinic,New growth cohort,538,5.97,16.2,3.5
2024-09-01,East,Odisha,NPK 12-32-16,Complex fertiliser,Retailer,New growth cohort,585,7.59,14.2,5
2024-09-01,East,Odisha,NPK 12-32-16,Complex fertiliser,Distributor,At-risk FY24 cohort,447,5.61,14.3,6.3
2024-09-01,East,Odisha,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,474,5.95,14.1,4.6
2024-09-01,East,West Bengal,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,543,6.81,16,3.2
2024-09-01,East,Bihar,BioGro,Bio-stimulant,Retailer,Stable core,662,9.55,14.5,4.9
2024-09-01,East,West Bengal,BioGro,Bio-stimulant,Distributor,At-risk FY24 cohort,704,9.86,17,6.8
2024-09-01,East,West Bengal,BioGro,Bio-stimulant,Co-op,New growth cohort,593,8.3,16.8,3.4
2024-09-01,East,West Bengal,BioGro,Bio-stimulant,Agri clinic,Stable core,744,10.42,16.3,4.4
2024-09-01,East,Bihar,CropShield,Core fertiliser,Retailer,Stable core,777,12.33,14.7,4.8
2024-09-01,East,West Bengal,CropShield,Core fertiliser,Distributor,At-risk FY24 cohort,638,9.86,14.7,6.9
2024-09-01,East,Odisha,CropShield,Core fertiliser,Co-op,Stable core,774,11.96,15.5,4.5
2024-09-01,East,West Bengal,CropShield,Core fertiliser,Agri clinic,Stable core,752,11.62,14.4,4.3
2024-09-01,East,Odisha,Specialty Zinc,Core fertiliser,Retailer,Stable core,712,12.33,15.2,5
2024-09-01,East,Odisha,Specialty Zinc,Core fertiliser,Distributor,At-risk FY24 cohort,704,11.9,14.6,6.9
2024-09-01,East,Bihar,Specialty Zinc,Core fertiliser,Co-op,New growth cohort,641,10.83,16.8,4.8
2024-09-01,East,West Bengal,Specialty Zinc,Core fertiliser,Agri clinic,Stable core,705,11.91,14.8,4.6
2024-09-01,West,Rajasthan,Urea,Core fertiliser,Retailer,New growth cohort,535,4.61,16.1,4.6
2024-09-01,West,Rajasthan,Urea,Core fertiliser,Distributor,Stable core,591,4.85,16,4.8
2024-09-01,West,Rajasthan,Urea,Core fertiliser,Co-op,Stable core,656,5.38,16.8,4.1
2024-09-01,West,Rajasthan,Urea,Core fertiliser,Agri clinic,Stable core,546,4.48,18.6,5
2024-09-01,West,Maharashtra,DAP,Core fertiliser,Retailer,New growth cohort,671,6.76,17,4.6
2024-09-01,West,Gujarat,DAP,Core fertiliser,Distributor,Stable core,684,6.6,18,4.7
2024-09-01,West,Maharashtra,DAP,Core fertiliser,Co-op,Stable core,570,5.5,17.1,4
2024-09-01,West,Gujarat,DAP,Core fertiliser,Agri clinic,Stable core,616,5.94,17.5,4.3
2024-09-01,West,Gujarat,NPK 20-20,Complex fertiliser,Retailer,Stable core,777,8.95,18.8,3.9
2024-09-01,West,Rajasthan,NPK 20-20,Complex fertiliser,Distributor,New growth cohort,738,8.19,16.5,4.4
2024-09-01,West,Maharashtra,NPK 20-20,Complex fertiliser,Co-op,New growth cohort,628,6.97,18,4.8
2024-09-01,West,Rajasthan,NPK 20-20,Complex fertiliser,Agri clinic,New growth cohort,779,8.65,16.9,4.6
2024-09-01,West,Maharashtra,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,699,9.07,17.1,3.7
2024-09-01,West,Rajasthan,NPK 12-32-16,Complex fertiliser,Distributor,New growth cohort,849,10.65,17.5,4.8
2024-09-01,West,Gujarat,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,723,9.07,18.2,3.3
2024-09-01,West,Maharashtra,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,853,10.71,17,4.5
2024-09-01,West,Rajasthan,BioGro,Bio-stimulant,Retailer,Stable core,890,12.83,18.9,4.2
2024-09-01,West,Gujarat,BioGro,Bio-stimulant,Distributor,New growth cohort,1036,14.5,17.4,4.8
2024-09-01,West,Maharashtra,BioGro,Bio-stimulant,Co-op,Stable core,866,12.12,19,4.8
2024-09-01,West,Gujarat,BioGro,Bio-stimulant,Agri clinic,Stable core,870,12.18,17.2,5
2024-09-01,West,Rajasthan,CropShield,Core fertiliser,Retailer,Stable core,899,14.27,17.1,3.8
2024-09-01,West,Gujarat,CropShield,Core fertiliser,Distributor,New growth cohort,1132,17.49,19.2,3.2
2024-09-01,West,Maharashtra,CropShield,Core fertiliser,Co-op,New growth cohort,1001,15.47,19.1,5
2024-09-01,West,Gujarat,CropShield,Core fertiliser,Agri clinic,Stable core,993,15.34,18.7,4.6
2024-09-01,West,Maharashtra,Specialty Zinc,Core fertiliser,Retailer,New growth cohort,1021,17.68,18.1,3.2
2024-09-01,West,Gujarat,Specialty Zinc,Core fertiliser,Distributor,Stable core,1018,17.2,16.7,4.2
2024-09-01,West,Maharashtra,Specialty Zinc,Core fertiliser,Co-op,Stable core,864,14.6,16.5,3.6
2024-09-01,West,Gujarat,Specialty Zinc,Core fertiliser,Agri clinic,Stable core,1044,17.64,17.1,4.6
2024-09-01,South,Karnataka,Urea,Core fertiliser,Retailer,Stable core,623,5.37,16.7,4
2024-09-01,South,Andhra Pradesh,Urea,Core fertiliser,Distributor,Stable core,561,4.6,18.7,3.7
2024-09-01,South,Andhra Pradesh,Urea,Core fertiliser,Co-op,Stable core,611,5.01,16.3,3.6
2024-09-01,South,Andhra Pradesh,Urea,Core fertiliser,Agri clinic,Stable core,613,5.03,16.8,3.6
2024-09-01,South,Andhra Pradesh,DAP,Core fertiliser,Retailer,Stable core,591,5.95,16.9,5
2024-09-01,South,Telangana,DAP,Core fertiliser,Distributor,Stable core,733,7.07,16.9,3.3
2024-09-01,South,Andhra Pradesh,DAP,Core fertiliser,Co-op,New growth cohort,705,6.8,17.3,4.2
2024-09-01,South,Karnataka,DAP,Core fertiliser,Agri clinic,New growth cohort,671,6.48,16.9,3.5
2024-09-01,South,Andhra Pradesh,NPK 20-20,Complex fertiliser,Retailer,Stable core,682,7.86,18.6,4.6
2024-09-01,South,Andhra Pradesh,NPK 20-20,Complex fertiliser,Distributor,Stable core,807,8.96,17.2,3.8
2024-09-01,South,Telangana,NPK 20-20,Complex fertiliser,Co-op,Stable core,637,7.07,18.5,3.9
2024-09-01,South,Andhra Pradesh,NPK 20-20,Complex fertiliser,Agri clinic,Stable core,708,7.86,16.5,3.4
2024-09-01,South,Telangana,NPK 12-32-16,Complex fertiliser,Retailer,New growth cohort,741,9.61,18.1,3.8
2024-09-01,South,Karnataka,NPK 12-32-16,Complex fertiliser,Distributor,Stable core,767,9.63,16.1,3.4
2024-09-01,South,Andhra Pradesh,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,674,8.46,15.9,4.4
2024-09-01,South,Telangana,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,649,8.14,17.5,4.6
2024-09-01,South,Andhra Pradesh,BioGro,Bio-stimulant,Retailer,Stable core,847,12.21,18.6,3.8
2024-09-01,South,Telangana,BioGro,Bio-stimulant,Distributor,Stable core,1067,14.94,17,4.7
2024-09-01,South,Andhra Pradesh,BioGro,Bio-stimulant,Co-op,New growth cohort,1015,14.21,17.3,4.5
2024-09-01,South,Telangana,BioGro,Bio-stimulant,Agri clinic,New growth cohort,1042,14.59,18.1,3.6
2024-09-01,South,Karnataka,CropShield,Core fertiliser,Retailer,Stable core,944,14.98,17.5,3.6
2024-09-01,South,Karnataka,CropShield,Core fertiliser,Distributor,Stable core,1004,15.51,18.8,4.1
2024-09-01,South,Karnataka,CropShield,Core fertiliser,Co-op,Stable core,985,15.22,18.4,3.1
2024-09-01,South,Karnataka,CropShield,Core fertiliser,Agri clinic,Stable core,938,14.49,17.3,3.9
2024-09-01,South,Telangana,Specialty Zinc,Core fertiliser,Retailer,Stable core,1086,18.81,16.4,4
2024-09-01,South,Karnataka,Specialty Zinc,Core fertiliser,Distributor,Stable core,1037,17.53,18.9,3.8
2024-09-01,South,Karnataka,Specialty Zinc,Core fertiliser,Co-op,Stable core,1106,18.69,16.5,4.4
2024-09-01,South,Andhra Pradesh,Specialty Zinc,Core fertiliser,Agri clinic,Stable core,847,14.31,17.5,4.5
2024-09-01,Central,Chhattisgarh,Urea,Core fertiliser,Retailer,Stable core,646,5.57,16.6,3.2
2024-09-01,Central,Madhya Pradesh,Urea,Core fertiliser,Distributor,Stable core,639,5.24,16.7,4.8
2024-09-01,Central,Chhattisgarh,Urea,Core fertiliser,Co-op,Stable core,658,5.4,17.5,3.4
2024-09-01,Central,Madhya Pradesh,Urea,Core fertiliser,Agri clinic,Stable core,566,4.64,18.7,4.3
2024-09-01,Central,Chhattisgarh,DAP,Core fertiliser,Retailer,Stable core,621,6.25,17.3,3.3
2024-09-01,Central,Madhya Pradesh,DAP,Core fertiliser,Distributor,Stable core,567,5.47,18.5,5.1
2024-09-01,Central,Madhya Pradesh,DAP,Core fertiliser,Co-op,Stable core,648,6.25,18,3.6
2024-09-01,Central,Chhattisgarh,DAP,Core fertiliser,Agri clinic,Stable core,605,5.84,18.3,3.7
2024-09-01,Central,Chhattisgarh,NPK 20-20,Complex fertiliser,Retailer,Stable core,613,7.06,18.8,4.4
2024-09-01,Central,Madhya Pradesh,NPK 20-20,Complex fertiliser,Distributor,Stable core,777,8.62,18.4,3.2
2024-09-01,Central,Chhattisgarh,NPK 20-20,Complex fertiliser,Co-op,New growth cohort,606,6.73,18.2,3.4
2024-09-01,Central,Chhattisgarh,NPK 20-20,Complex fertiliser,Agri clinic,New growth cohort,628,6.97,16.4,4
2024-09-01,Central,Madhya Pradesh,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,826,10.71,18.1,3.4
2024-09-01,Central,Chhattisgarh,NPK 12-32-16,Complex fertiliser,Distributor,Stable core,742,9.31,16.5,3.3
2024-09-01,Central,Chhattisgarh,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,703,8.82,17.8,4.1
2024-09-01,Central,Chhattisgarh,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,768,9.64,18,4.2
2024-09-01,Central,Madhya Pradesh,BioGro,Bio-stimulant,Retailer,New growth cohort,986,14.22,18.2,4.8
2024-09-01,Central,Chhattisgarh,BioGro,Bio-stimulant,Distributor,Stable core,823,11.52,16.8,4.9
2024-09-01,Central,Chhattisgarh,BioGro,Bio-stimulant,Co-op,Stable core,1002,14.03,16.6,4.8
2024-09-01,Central,Chhattisgarh,BioGro,Bio-stimulant,Agri clinic,Stable core,905,12.67,16.9,4.4
2024-09-01,Central,Chhattisgarh,CropShield,Core fertiliser,Retailer,Stable core,1057,16.77,16.7,4
2024-09-01,Central,Madhya Pradesh,CropShield,Core fertiliser,Distributor,New growth cohort,1049,16.21,18.1,3.3
2024-09-01,Central,Madhya Pradesh,CropShield,Core fertiliser,Co-op,New growth cohort,904,13.97,16.7,4.3
2024-09-01,Central,Madhya Pradesh,CropShield,Core fertiliser,Agri clinic,Stable core,869,13.43,17.8,4.7
2024-09-01,Central,Madhya Pradesh,Specialty Zinc,Core fertiliser,Retailer,Stable core,900,15.59,18.6,3.2
2024-09-01,Central,Chhattisgarh,Specialty Zinc,Core fertiliser,Distributor,New growth cohort,944,15.95,19.1,4
2024-09-01,Central,Madhya Pradesh,Specialty Zinc,Core fertiliser,Co-op,Stable core,944,15.95,17.9,3.1
2024-09-01,Central,Madhya Pradesh,Specialty Zinc,Core fertiliser,Agri clinic,Stable core,1055,17.83,16.6,5
2024-10-01,North,Uttar Pradesh,Urea,Core fertiliser,Retailer,Stable core,460,3.97,16.7,4.5
2024-10-01,North,Haryana,Urea,Core fertiliser,Distributor,At-risk FY24 cohort,432,3.54,16,5.4
2024-10-01,North,Uttar Pradesh,Urea,Core fertiliser,Co-op,Stable core,407,3.34,16.2,4.1
2024-10-01,North,Uttar Pradesh,Urea,Core fertiliser,Agri clinic,Stable core,380,3.12,17.6,3.4
2024-10-01,North,Haryana,DAP,Core fertiliser,Retailer,Stable core,483,4.86,17.8,5.1
2024-10-01,North,Uttar Pradesh,DAP,Core fertiliser,Distributor,At-risk FY24 cohort,427,4.12,17.8,5.4
2024-10-01,North,Uttar Pradesh,DAP,Core fertiliser,Co-op,New growth cohort,430,4.15,17.5,3.8
2024-10-01,North,Punjab,DAP,Core fertiliser,Agri clinic,New growth cohort,437,4.22,17,3.7
2024-10-01,North,Punjab,NPK 20-20,Complex fertiliser,Retailer,New growth cohort,461,5.31,18,4.7
2024-10-01,North,Uttar Pradesh,NPK 20-20,Complex fertiliser,Distributor,At-risk FY24 cohort,506,5.62,16.4,5.6
2024-10-01,North,Uttar Pradesh,NPK 20-20,Complex fertiliser,Co-op,Stable core,459,5.09,16,4.4
2024-10-01,North,Uttar Pradesh,NPK 20-20,Complex fertiliser,Agri clinic,Stable core,471,5.23,17.5,4.7
2024-10-01,North,Haryana,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,553,7.17,16.4,3.6
2024-10-01,North,Haryana,NPK 12-32-16,Complex fertiliser,Distributor,At-risk FY24 cohort,582,7.3,16.5,6
2024-10-01,North,Punjab,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,496,6.22,18.5,3.3
2024-10-01,North,Punjab,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,581,7.29,16.7,3.5
2024-10-01,North,Haryana,BioGro,Bio-stimulant,Retailer,Stable core,793,11.44,17.6,4.5
2024-10-01,North,Uttar Pradesh,BioGro,Bio-stimulant,Distributor,At-risk FY24 cohort,763,10.68,19.4,6
2024-10-01,North,Haryana,BioGro,Bio-stimulant,Co-op,Stable core,766,10.72,17.2,4.5
2024-10-01,North,Uttar Pradesh,BioGro,Bio-stimulant,Agri clinic,Stable core,670,9.38,18.6,4
2024-10-01,North,Punjab,CropShield,Core fertiliser,Retailer,Stable core,839,13.31,18.5,3.6
2024-10-01,North,Haryana,CropShield,Core fertiliser,Distributor,At-risk FY24 cohort,658,10.17,19.4,6.5
2024-10-01,North,Punjab,CropShield,Core fertiliser,Co-op,Stable core,709,10.95,17.7,4.7
2024-10-01,North,Punjab,CropShield,Core fertiliser,Agri clinic,New growth cohort,745,11.51,18.9,4.4
2024-10-01,North,Haryana,Specialty Zinc,Core fertiliser,Retailer,Stable core,642,11.12,18.9,3.5
2024-10-01,North,Punjab,Specialty Zinc,Core fertiliser,Distributor,At-risk FY24 cohort,625,10.56,18.1,7.2
2024-10-01,North,Punjab,Specialty Zinc,Core fertiliser,Co-op,New growth cohort,838,14.16,16.8,4
2024-10-01,North,Punjab,Specialty Zinc,Core fertiliser,Agri clinic,Stable core,725,12.25,18.6,3.3
2024-10-01,East,Odisha,Urea,Core fertiliser,Retailer,Stable core,519,4.47,15.2,4.8
2024-10-01,East,West Bengal,Urea,Core fertiliser,Distributor,At-risk FY24 cohort,459,3.76,16.2,6.8
2024-10-01,East,Odisha,Urea,Core fertiliser,Co-op,New growth cohort,463,3.8,14.7,3.8
2024-10-01,East,Bihar,Urea,Core fertiliser,Agri clinic,New growth cohort,441,3.62,15.8,5
2024-10-01,East,Odisha,DAP,Core fertiliser,Retailer,Stable core,609,6.13,14.9,3.5
2024-10-01,East,West Bengal,DAP,Core fertiliser,Distributor,At-risk FY24 cohort,476,4.59,15.5,7.2
2024-10-01,East,Bihar,DAP,Core fertiliser,Co-op,Stable core,476,4.59,15.1,4.8
2024-10-01,East,Bihar,DAP,Core fertiliser,Agri clinic,Stable core,492,4.75,13.9,3.4
2024-10-01,East,Bihar,NPK 20-20,Complex fertiliser,Retailer,Stable core,596,6.87,16,3.5
2024-10-01,East,Odisha,NPK 20-20,Complex fertiliser,Distributor,At-risk FY24 cohort,504,5.59,14.9,6.7
2024-10-01,East,West Bengal,NPK 20-20,Complex fertiliser,Co-op,Stable core,568,6.3,16.2,3.4
2024-10-01,East,Bihar,NPK 20-20,Complex fertiliser,Agri clinic,New growth cohort,621,6.89,14.4,4.2
2024-10-01,East,Bihar,NPK 12-32-16,Complex fertiliser,Retailer,Stable core,686,8.9,14.4,4.2
2024-10-01,East,Odisha,NPK 12-32-16,Complex fertiliser,Distributor,At-risk FY24 cohort,629,7.89,14.9,7
2024-10-01,East,Odisha,NPK 12-32-16,Complex fertiliser,Co-op,Stable core,659,8.27,15.8,4.3
2024-10-01,East,West Bengal,NPK 12-32-16,Complex fertiliser,Agri clinic,Stable core,543,6.81,16.3,5
2024-10-01,East,Odisha,BioGro,Bio-stimulant,Retailer,New growth cohort,828,11.94,16.6,5
2024-10-01,East,Bihar,BioGro,Bio-stimulant,Distributor,At-risk FY24 cohort,696,9.74,17.1,6.9
2024-10-01,East,Odisha,BioGro,Bio-stimulant,Co-op,New growth cohort,710,9.94,17.3,3.6
2024-10-01,East,Odisha,BioGro,Bio-stimulant,Agri clinic,New growth cohort,690,9.66,17.1,4.3
2024-10-01,East,Odisha,CropShield,Core fertiliser,Retailer,New growth cohort,881,13.98,17.1,4.7
2024-10-01,East,West Bengal,CropShield,Core fertiliser,Distributor,At-risk FY24 cohort,916,14.15,15.6,6.6
2024-10-01,East,Odisha,CropShield,Core fertiliser,Co-op,Stable core,807,12.47,15,3.2
2024-10-01,East,Bihar,CropShield,Core fertiliser,Agri clinic,New growth cohort,736,11.37,16,3.8
2024-10-01,East,Odisha,Specialty Zinc,Core fertiliser,Retailer,New growth cohort,864,14.96,16.1,5.1
2024-10-01,East,Odisha,Specialty Zinc,Core fertiliser,Distributor,At-risk FY24 cohort,883,14.92,14.6,6.9
2024-10-01,East,Bihar,Specialty Zinc,Core fertiliser,Co-op,New growth cohort,732,12.37,14.4,4.3
2024-10-01,East,Odisha,Specialty Zinc,Core fertiliser,Agri clinic,Stable core,857,14.48,15.9,3.2
2024-10-01,West,Gujarat,Urea,Core fertiliser,Retailer,New growth cohort,644,5.55,16.2,4.4
2024-10-01,West,Rajasthan,Urea,Core fertiliser,Distributor,New growth cohort,680,5.58,17.4,3.2
2024-10-01,West,Maharashtra,Urea,Core fertiliser,Co-op,New growth cohort,665,5.45,18.8,4.2
2024-10-01,West,Gujarat,Urea,Core fertiliser,Agri clinic,Stable core,741,6.08,16.1,5
2024-10-01,West,Maharashtra,DAP,Core fertiliser,Retailer,Stable core,758,7.63,16.1,3.5
2024-10-01,West,Gujarat,DAP,Core fertiliser,Distributor,New growth cohort,892,8.61,17.9,5
2024-10-01,West,Maharashtra,DAP,Core fertiliser,Co-op,Stable core,815,7.86,17.3,3.7
2024-10-01,West,Rajasthan,DAP,Core fertiliser,Agri clinic,Stable core,750,7.24,16.9,4.5
2024-10-01,West,Rajasthan,NPK 20-20,Complex fertiliser,Retailer,Stable core,870,10.02,17.3,4.6
2024-10-01,West,Rajasthan,NPK 20-20,Complex fertiliser,Distributor,Stable core,828,9.19,17.6,4.2
